words,sentiment_score,sentiment_magnitude
5,0.0,0.10000000149011612
128,0.10000000149011612,1.5
100,-0.4000000059604645,1.7999999523162842
151,-0.10000000149011612,1.899999976158142
156,0.0,1.2999999523162842
118,0.4000000059604645,2.4000000953674316
34,0.0,0.0
22,0.30000001192092896,0.30000001192092896
18,-0.30000001192092896,0.6000000238418579
25,0.4000000059604645,0.8999999761581421
20,-0.20000000298023224,0.20000000298023224
7,0.0,0.0
46,0.0,0.20000000298023224
32,0.10000000149011612,0.5
29,-0.20000000298023224,0.5
6,-0.30000001192092896,0.30000001192092896
34,0.30000001192092896,1.2999999523162842
7,0.0,0.0
62,0.0,0.8999999761581421
13,0.0,0.0
24,0.0,0.0
62,0.0,1.2000000476837158
37,0.0,0.10000000149011612
11,0.20000000298023224,0.20000000298023224
30,0.0,0.0
41,0.0,0.800000011920929
53,0.10000000149011612,1.399999976158142
91,0.10000000149011612,1.2999999523162842
3,0.0,0.0
29,-0.10000000149011612,0.30000001192092896
3,0.30000001192092896,0.30000001192092896
20,-0.10000000149011612,0.6000000238418579
10,0.0,0.0
100,0.10000000149011612,1.7999999523162842
119,0.0,4.0
9,0.0,0.0
28,0.0,0.0
11,-0.10000000149011612,0.20000000298023224
24,0.0,0.20000000298023224
10,0.4000000059604645,0.4000000059604645
173,0.0,3.0999999046325684
24,0.30000001192092896,1.0
10,0.20000000298023224,0.20000000298023224
70,0.0,3.799999952316284
3,0.0,0.10000000149011612
85,-0.20000000298023224,1.7999999523162842
28,0.0,0.0
12,0.30000001192092896,0.30000001192092896
56,-0.10000000149011612,0.800000011920929
30,0.0,0.30000001192092896
71,-0.10000000149011612,1.7999999523162842
56,-0.20000000298023224,0.4000000059604645
43,0.20000000298023224,1.0
7,0.0,0.0
16,0.30000001192092896,1.2999999523162842
3,0.0,0.0
69,-0.10000000149011612,1.7999999523162842
54,-0.10000000149011612,1.2000000476837158
12,0.0,0.0
18,0.10000000149011612,0.30000001192092896
27,0.699999988079071,1.5
5,0.0,0.0
16,0.10000000149011612,0.10000000149011612
8,0.0,0.0
14,0.30000001192092896,0.30000001192092896
23,-0.5,0.5
26,0.4000000059604645,1.2999999523162842
33,0.20000000298023224,1.100000023841858
31,0.0,1.100000023841858
15,0.5,0.5
0,0.0,0.0
6,0.10000000149011612,0.20000000298023224
143,0.4000000059604645,2.9000000953674316
167,0.10000000149011612,1.899999976158142
140,0.10000000149011612,2.299999952316284
115,0.5,2.0
130,0.0,2.0
102,0.10000000149011612,1.399999976158142
27,0.4000000059604645,0.8999999761581421
3,0.0,0.0
182,0.30000001192092896,3.200000047683716
6,0.0,0.10000000149011612
38,-0.4000000059604645,0.800000011920929
121,0.0,3.5
3,0.0,0.0
109,0.20000000298023224,7.300000190734863
55,-0.10000000149011612,0.30000001192092896
178,0.10000000149011612,5.900000095367432
259,0.0,3.0
119,-0.10000000149011612,1.7999999523162842
146,0.20000000298023224,3.299999952316284
222,0.30000001192092896,5.0
20,-0.800000011920929,1.7000000476837158
6,-0.10000000149011612,0.10000000149011612
105,0.0,3.5
17,-0.10000000149011612,0.30000001192092896
1,0.0,0.0
42,0.5,1.100000023841858
5,0.0,0.0
146,0.10000000149011612,3.0
4,0.0,0.0
40,-0.10000000149011612,0.5
33,0.0,0.0
101,0.4000000059604645,3.5
5,0.10000000149011612,0.10000000149011612
163,0.0,3.5
31,0.20000000298023224,0.8999999761581421
82,0.0,3.0
17,0.0,0.20000000298023224
71,-0.10000000149011612,1.7999999523162842
47,0.0,1.100000023841858
97,0.10000000149011612,1.899999976158142
18,-0.10000000149011612,1.0
49,0.0,0.20000000298023224
10,0.0,0.0
15,0.0,0.10000000149011612
44,-0.30000001192092896,0.699999988079071
16,0.0,0.0
38,-0.20000000298023224,0.8999999761581421
9,0.0,0.0
13,0.20000000298023224,0.800000011920929
12,-0.10000000149011612,0.6000000238418579
14,-0.10000000149011612,0.10000000149011612
0,0.0,0.0
7,0.10000000149011612,0.30000001192092896
89,0.10000000149011612,2.0999999046325684
10,0.0,0.0
5,0.0,0.0
9,0.0,0.0
45,-0.4000000059604645,1.5
2,-0.10000000149011612,0.10000000149011612
132,0.20000000298023224,2.299999952316284
3,0.4000000059604645,0.8999999761581421
48,0.0,2.5
13,-0.800000011920929,0.800000011920929
22,0.0,0.10000000149011612
9,0.10000000149011612,0.10000000149011612
5,0.10000000149011612,0.30000001192092896
196,0.0,2.4000000953674316
2,0.0,0.0
64,0.30000001192092896,1.899999976158142
31,0.30000001192092896,1.0
36,0.0,0.0
13,-0.30000001192092896,0.30000001192092896
36,0.0,0.20000000298023224
7,0.0,0.0
62,0.10000000149011612,1.0
22,-0.800000011920929,0.800000011920929
5,0.0,0.0
5,0.0,0.0
23,0.20000000298023224,0.4000000059604645
68,-0.10000000149011612,2.200000047683716
20,-0.699999988079071,0.699999988079071
22,-0.20000000298023224,0.699999988079071
29,-0.30000001192092896,0.30000001192092896
29,0.0,0.699999988079071
175,-0.4000000059604645,2.9000000953674316
182,0.0,2.9000000953674316
47,0.0,0.6000000238418579
38,0.0,0.800000011920929
29,0.0,0.20000000298023224
34,0.0,0.20000000298023224
33,0.10000000149011612,0.30000001192092896
11,-0.4000000059604645,0.4000000059604645
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
27,0.10000000149011612,0.30000001192092896
73,0.0,1.600000023841858
111,-0.30000001192092896,2.5
215,-0.10000000149011612,5.099999904632568
17,0.800000011920929,0.800000011920929
20,0.10000000149011612,0.20000000298023224
6,0.0,0.0
6,-0.10000000149011612,0.10000000149011612
33,-0.20000000298023224,0.800000011920929
4,0.30000001192092896,0.6000000238418579
43,0.0,1.0
2,0.0,0.0
18,0.0,0.30000001192092896
67,0.20000000298023224,0.800000011920929
9,-0.10000000149011612,0.10000000149011612
11,-0.10000000149011612,0.10000000149011612
17,-0.10000000149011612,0.4000000059604645
48,0.0,0.10000000149011612
11,0.20000000298023224,0.5
41,0.20000000298023224,0.800000011920929
12,0.0,0.10000000149011612
24,-0.20000000298023224,0.800000011920929
107,0.0,1.0
3,0.0,0.0
40,0.0,0.10000000149011612
10,0.0,0.0
34,-0.20000000298023224,0.4000000059604645
5,0.0,0.0
4,0.0,0.0
6,-0.30000001192092896,0.30000001192092896
19,0.800000011920929,0.800000011920929
16,-0.20000000298023224,0.20000000298023224
4,0.0,0.0
19,-0.30000001192092896,1.0
14,-0.800000011920929,0.800000011920929
45,-0.4000000059604645,0.4000000059604645
31,-0.5,0.5
26,0.0,0.0
25,-0.10000000149011612,0.4000000059604645
14,-0.30000001192092896,0.30000001192092896
6,0.0,0.0
44,-0.4000000059604645,1.2000000476837158
1,0.10000000149011612,0.10000000149011612
111,-0.10000000149011612,2.700000047683716
17,0.0,0.0
83,0.10000000149011612,2.0999999046325684
76,0.20000000298023224,1.0
218,-0.10000000149011612,4.099999904632568
28,0.0,1.2999999523162842
45,-0.5,1.100000023841858
10,0.0,0.0
96,0.0,1.399999976158142
25,0.0,0.10000000149011612
